practices,social,study vs product,system perception,system use,value judgements
1935,220,1047,1036,5034,641
eat (61),delivery (14),bread (24),system (19),time (169),bread (26)
time (37),delivered (13),because (22),order (16),see (139),order (24)
bread (35),bread (11),scales (18),trust (14),system (118),system (22)
food (34),time (10),work (17),delivery (13),said (112),delivery (15)
pasta (33),pasta (9),price (17),good (13),need (102),good (14)
because (31),say (9),way (16),point (13),order (101),need (14)
buy (30),concierge (9),make (14),need (11),want (91),time (14)
see (29),felt (8),obviously (14),time (11),say (88),quite (13)
delivery (27),fine (8),need (14),thought (11),remember (85),said (13)
say (25),home (7),pasta (14),change (11),because (83),delivered (12)
supermarket (25),people (7),want (14),two (10),quite (83),say (12)
lot (24),coffee (7),system (14),quite (10),right (80),point (12)
system (21),times (6),also (13),say (10),text (78),thought (11)
quite (21),usually (6),say (13),people (10),bread (78),because (10)
right (20),door (6),remember (13),sure (9),fine (77),obviously (10)
good (20),friends (6),stuff (12),price (9),delivery (76),way (9)
eggs (20),different (6),food (12),anything (8),thought (76),deliver (9)
people (20),good (6),time (12),right (8),went (72),buy (9)
make (19),getting (5),items (11),eggs (8),unclear (67),fine (9)
need (19),way (5),interesting (11),bread (8),wanted (64),coming (8)
way (19),food (5),scale (10),biscuits (8),times (62),days (8)
tomatoes (18),quite (5),different (10),data (8),two (61),times (8)
day (18),knew (5),unclear (10),weight (7),good (61),email (8)
use (18),children (5),see (10),wanted (7),first (61),happen (8)
stuff (18),we (5),quite (10),changed (7),stuff (59),stuff (7)
us (18),come (5),days (9),supermarket (7),interesting (58),work (7)
also (18),morning (5),eat (9),fine (7),way (55),left (7)
want (16),parcel (5),run (9),product (7),anything (54),oats (7)
shopping (16),onions (5),two (9),put (7),change (54),pasta (6)
anything (15),addison (4),delivery (9),remember (7),work (53),worked (6)
change (15),using (4),change (9),way (7),also (53),day (6)
home (15),lee (4),lot (8),said (7),mentioned (51),couple (6)
order (15),made (4),little (8),different (7),obviously (51),went (6)
unclear (14),want (4),able (8),interesting (7),day (51),orders (6)
work (14),day (4),sort (8),days (6),use (51),manual (6)
consumption (14),someone (4),good (8),obviously (6),last (51),happened (6)
usually (14),involved (4),suppose (8),low (6),email (50),mentioned (5)
different (14),email (4),type (8),never (6),question (49),two (5)
sort (14),milk (4),coming (7),come (6),sure (48),wanted (5)
we (14),run (4),order (7),because (6),even (47),full (5)
come (13),study (4),unless (7),ordered (6),look (46),eggs (5)
