practices,social,study vs product,system perception,system use,value judgements
1255,55,473,542,4040,1582
eat (34),delivered (3),good (5),delivery (7),time (102),system (75)
pasta (17),delivery (3),need (4),sure (4),order (77),work (22)
see (15),bread (3),say (4),quite (4),see (77),right (19)
food (13),times (2),bread (3),good (4),said (65),time (19)
time (12),fine (2),want (3),system (4),system (65),because (18)
bread (11),time (2),shop (3),anything (3),okay (59),want (18)
say (9),want (2),point (3),origin (3),say (54),way (18)
theres (8),addison (1),different (3),decisions (3),unclear (53),stuff (17)
buy (8),lee (1),scales (3),travel (3),remember (48),unclear (17)
because (8),guilty (1),set (3),affect (3),delivery (48),order (16)
shopping (8),drivers (1),comes (2),length (3),quite (48),okay (16)
tomatoes (7),felt (1),trying (2),information (3),need (45),delivery (14)
lot (7),using (1),items (2),right (3),interesting (45),help (14)
unclear (7),expensive (1),remember (2),interesting (3),two (42),say (14)
consumption (6),items (1),food (2),biscuits (3),youre (42),need (14)
change (6),work (1),anything (2),guy (2),went (41),good (13)
less (6),involved (1),also (2),need (2),thought (41),experience (13)
sometimes (6),tomatoes (1),massive (2),eggs (2),mentioned (40),exactly (12)
spaghetti (6),pasta (1),interesting (2),useful (2),wanted (39),overtalking (12)
anything (5),ate (1),they (2),website (2),want (39),use (12)
work (5),far (1),products (2),okay (2),times (38),also (12)
system (5),wants (1),bigger (2),point (2),fine (38),sustainable (11)
freeze (5),quite (1),stuff (2),different (2),right (36),anything (11)
good (5),late (1),bowl (2),autonomy (2),first (36),youre (11)
stuff (5),humans (1),days (2),order (2),text (33),bread (11)
right (5),just (1),suppose (2),make (2),email (31),thought (11)
youre (5),delivering (1),benefit (2),case (2),change (31),used (11)
said (5),pissed (1),type (2),sense (2),look (31),imagine (10)
sort (5),guy (1),big (2),wheat (2),last (30),remember (10)
quite (5),robot (1),particularly (2),human (2),point (30),see (10)
worked (4),traffic (1),delivery (2),jar (2),anything (29),curious (10)
days (4),useful (1),city (2),friendly (1),stuff (29),quite (9)
delivery (4),milk (1),change (2),cheapest (1),bread (28),make (9)
ate (4),someone (1),make (2),wanted (1),made (27),people (9)
usually (4),finished (1),pasta (2),environmentally (1),ordered (26),getting (9)
grocery (4),offered (1),quite (2),whether (1),already (26),said (9)
different (4),housemates (1),obviously (2),quickest (1),three (26),just (8)
okay (4),diets (1),system (2),criteria (1),because (26),fine (8)
