practices,social,study vs product,system perception,system use,value judgements
496,128,303,229,751,485
eat (34),delivered (10),bread (20),system (17),time (42),order (32)
time (26),pasta (8),because (19),order (14),order (34),time (31)
bread (26),delivery (8),work (15),trust (12),bread (33),bread (30)
pasta (22),time (8),way (14),need (10),system (29),need (27)
because (21),bread (8),want (12),good (10),need (29),system (24)
delivery (20),concierge (8),pasta (11),two (9),pasta (28),good (21)
supermarket (19),say (7),also (11),time (9),delivery (28),said (20)
theres (18),felt (6),theres (11),delivery (8),said (28),delivery (18)
buy (17),home (6),price (11),quite (8),say (28),say (17)
good (17),fine (6),time (11),thought (8),okay (24),buy (16)
quite (17),usually (6),stuff (10),say (8),because (23),fine (15)
say (16),people (6),make (10),point (8),fine (22),delivered (14)
system (16),coffee (6),obviously (10),weight (7),two (21),way (14)
need (16),way (5),system (10),supermarket (7),want (21),day (14)
eggs (16),food (5),need (9),product (7),youre (21),stuff (14)
make (15),good (5),scales (9),put (7),thought (21),thought (14)
day (14),youre (5),run (9),bread (7),good (20),eat (13)
lot (14),getting (4),say (9),people (7),see (20),days (13)
home (13),times (4),delivery (9),change (7),stuff (19),okay (13)
use (12),quite (4),whole (8),biscuits (7),times (19),coming (12)
right (12),run (4),days (8),theres (6),quite (19),point (12)
stuff (12),door (4),able (8),days (6),point (19),quite (12)
youre (12),knew (4),okay (8),wanted (6),theres (18),obviously (12)
us (12),friends (4),see (8),low (6),different (18),see (12)
also (12),first (4),they (8),obviously (6),delivered (17),want (11)
come (11),different (4),quite (8),anything (6),sort (17),wanted (11)
food (11),we (4),items (7),changed (6),change (17),times (11)
sort (11),come (4),scale (7),come (6),wanted (16),because (11)
way (11),theres (4),different (7),fine (6),went (16),two (10)
order (11),morning (4),eat (7),eggs (6),little (16),us (10)
tomatoes (10),parcel (4),food (7),ordered (6),coming (16),run (10)
bought (10),addison (3),day (7),said (6),eat (16),came (10)
days (10),lee (3),order (7),saying (5),obviously (16),eggs (10)
work (10),using (3),sort (7),pretty (5),even (16),pasta (9)
anything (10),want (3),unclear (7),never (5),make (16),theres (9)
usually (10),day (3),point (7),right (5),run (16),work (9)
coming (10),someone (3),type (7),based (5),also (16),instead (9)
want (10),vegetables (3),change (7),run (5),put (16),another (9)
people (10),gets (3),coming (6),set (5),days (15),went (9)
someone (9),because (3),little (6),deliver (5),food (15),remember (9)
different (9),email (3),unless (6),quality (5),work (14),fact (9)
today (9),everything (3),good (6),because (5),worked (14),youre (9)
obviously (9),okay (3),vegetables (6),in (5),ordering (14),nice (9)
times (9),courier (3),eggs (6),way (5),knew (14),last (9)
run (9),said (3),first (6),okay (5),remember (14),problem (8)
deliver (9),milk (3),bowl (6),price (5),buy (14),rice (8)
might (9),especially (3),anyway (6),items (4),day (14),lot (8)
thought (9),study (3),times (6),automatically (4),able (14),running (8)
take (9),children (3),suppose (6),certain (4),ordered (14),email (8)
four (8),make (3),thinking (6),stuff (4),come (13),anything (8)
remember (8),order (3),youre (6),make (4),right (13),change (8)
unclear (8),deliver (3),whether (5),everything (4),items (12),sort (8)
sure (8),put (3),lot (5),food (4),couple (12),different (8)
healthy (8),might (3),said (5),person (4),sure (12),make (8)
theyre (8),thought (3),better (5),message (4),text (12),low (8)
house (8),onions (3),couple (5),deliveries (4),changed (12),saying (8)
change (8),tell (3),real (5),problem (4),back (12),worked (7)
okay (8),healthy (3),study (5),terms (4),happened (12),felt (7)
fine (8),indulgence (3),two (5),times (4),eggs (12),ordering (7)
made (8),expensive (2),worked (5),whatever (4),fact (12),even (7)
vegetables (8),tomatoes (2),set (5),want (4),orders (12),happened (7)
fact (8),driver (2),shops (5),now (4),needed (12),never (7)
next (8),bag (2),remember (5),different (4),rice (12),happen (7)
we (8),embarrassed (2),loaf (5),trigger (4),weight (11),everything (7)
see (8),packet (2),back (5),whats (4),way (11),received (7)
worked (8),worked (2),sure (4),went (4),wait (11),we (7)
cook (8),item (2),around (4),wheat (4),tomatoes (11),right (7)
deliveries (7),hes (2),shelf (4),list (4),anything (11),also (7)
certain (7),made (2),sign (4),nice (4),scales (11),give (7)
ate (7),ordering (2),definitely (4),chosen (3),look (11),lemons (7)
couple (7),main (2),paying (4),which (3),came (11),text (7)
nice (7),work (2),bag (4),couple (3),set (11),use (7)
overtalking (7),trying (2),still (4),sure (3),end (11),whats (7)
point (7),flatmate (2),idea (4),whether (3),nuts (11),left (7)
amazon (7),us (2),five (4),arrive (3),nice (10),knew (7)
first (7),weekend (2),already (4),knew (3),saying (10),nuts (7)
delivered (7),even (2),nice (4),lot (3),low (10),sometimes (6)
nuts (7),messages (2),home (4),seemed (3),pretty (10),deliver (6)
noticed (7),coming (2),shop (4),comes (3),trying (10),trying (6)
cookies (7),happened (2),local (4),definitely (3),sense (10),home (6)
two (6),neighbour (2),came (4),coming (3),email (10),messages (6)
lazy (6),never (2),ordering (4),automatic (3),supermarket (10),website (6)
five (6),accept (2),if (4),ingredient (3),type (10),took (6)
never (6),involved (2),everything (4),someone (3),we (10),message (6)
veg (6),wants (2),today (4),house (3),whether (9),three (6)
fresh (6),lot (2),fridge (4),breakfast (3),scale (9),anyway (6)
potatoes (6),shop (2),take (4),convenient (3),message (9),thinking (6)
knew (6),came (2),box (4),remember (3),usually (9),scale (6)
weekly (6),just (2),fruit (4),werent (3),still (9),couple (6)
buying (6),problems (2),fresh (4),products (3),us (9),sure (6)
tend (6),remember (2),bigger (4),if (3),problem (9),else (6)
sometimes (6),telling (2),done (4),kids (3),never (9),needed (6)
kids (6),see (2),look (4),sense (3),whatever (9),box (6)
feel (6),message (2),rather (4),day (3),tell (9),they (6)
even (6),future (2),shopping (4),completely (3),website (9),part (6)
put (6),show (2),oranges (4),automated (3),people (9),coffee (6)
front (6),week (2),saying (4),otherwise (3),first (9),crazy (5)
especially (6),bin (2),bags (4),lemons (3),cancel (9),mentioned (5)
plan (6),used (2),use (4),first (3),control (9),changed (5)
box (6),notice (2),four (4),tangerines (3),cookies (9),arrive (5)
fruit (6),werent (2),experience (4),enjoyed (3),that (8),feel (5)
coffee (6),interesting (2),trial (3),give (3),let (8),weekend (5)
eating (5),daily (2),larger (3),happened (3),check (8),already (5)
easy (5),life (2),trying (3),work (3),deliver (8),example (5)
if (5),overtalking (2),last (3),end (3),theyre (8),liked (5)
little (5),box (2),using (3),nothing (3),door (8),pretty (5)
enough (5),half (2),went (3),working (3),home (8),if (5)
less (5),in (2),guys (3),that (3),left (8),sense (5)
every (5),saying (2),right (3),scales (3),bag (8),put (5)
almost (5),pretty (2),product (3),chose (3),every (8),brown (5)
person (5),whatever (2),cool (3),took (3),another (8),people (5)
crazy (5),two (2),products (3),ordering (3),instead (8),working (5)
definitely (5),expecting (2),easy (3),weve (3),overtalking (8),quality (5)
bag (5),unclear (2),week (3),smooth (3),trigger (8),terms (5)
consumption (5),note (2),almost (3),usually (3),running (8),sent (5)
else (5),lots (2),getting (3),fact (3),option (8),experience (5)
depends (5),possibly (2),expensive (3),happen (3),next (8),idea (5)
shop (5),anything (2),yesterday (3),orders (3),getting (8),better (5)
whats (5),need (2),liked (3),control (3),slightly (8),end (5)
big (5),busy (2),another (3),timeout (3),oranges (8),next (5)
freeze (5),look (2),overtalking (3),jar (3),last (8),scales (5)
price (5),wait (2),course (3),depending (2),thinking (8),suppose (5)
family (5),also (2),spend (3),criteria (2),oil (8),ordered (5)
example (5),explained (2),next (3),cheapest (2),coffee (8),loads (5)
tesco (5),amazing (2),thursday (3),reordered (2),made (7),bags (5)
said (5),tend (2),deliver (3),cool (2),reordered (7),orders (5)
went (5),last (2),convenience (3),gone (2),study (7),night (5)
give (5),beans (2),ate (3),door (2),ones (7),monday (5)
which (5),sort (2),put (3),guy (2),if (7),manual (5)
saying (5),issues (2),clementines (3),trusted (2),bought (7),yoghurt (5)
lemons (5),point (2),without (3),waitrose (2),received (7),driver (4)
makes (5),guilty (1),slightly (3),eating (2),unclear (7),taking (4)
already (5),drivers (1),inconvenient (3),groceries (2),using (7),made (4)
shopping (5),items (1),courier (3),delivers (2),today (7),little (4)
whole (5),ashamed (1),delivered (3),for (2),liked (7),tomatoes (4)
used (5),taking (1),world (3),eat (2),might (7),reorder (4)
cereals (5),wherever (1),life (3),fresh (2),app (7),accept (4)
biscuits (5),bringing (1),might (3),bought (2),products (7),bag (4)
week (5),sometimes (1),loads (3),crazy (2),three (7),definitely (4)
notice (5),ecofriendly (1),breads (3),happy (2),amount (7),come (4)
oil (5),neighbours (1),milk (3),lets (2),price (7),tell (4)
items (4),concern (1),depot (3),look (2),give (7),white (4)
getting (4),that (1),never (3),needs (2),sometimes (6),later (4)
making (4),overseas (1),wanted (3),told (2),reorder (6),find (4)
weeks (4),away (1),visually (3),three (2),guy (6),wait (4)
often (4),seeing (1),wait (3),theyll (2),small (6),deliveries (4)
try (4),paris (1),based (3),buy (2),feel (6),door (4)
trying (4),guys (1),new (3),see (2),new (6),processed (4)
mind (4),contact (1),weve (3),plan (2),enough (6),amazon (4)
wait (4),except (1),used (3),regular (2),weeks (6),bought (4)
changed (4),whichever (1),tell (3),meals (2),gone (6),texts (4)
comes (4),neither (1),money (3),general (2),open (6),otherwise (4)
cupboard (4),communication (1),orders (3),next (2),lot (6),first (4)
look (4),problem (1),changed (3),cover (2),away (6),busy (4)
moment (4),which (1),paper (3),course (2),important (6),amount (4)
year (4),building (1),tuesday (3),youre (2),idea (6),enough (4)
season (4),ate (1),particularly (3),online (2),week (6),gave (4)
away (4),far (1),walk (3),scale (2),tend (6),diet (4)
came (4),goes (1),minutes (3),delivered (2),try (6),set (4)
spend (4),housemate (1),plan (3),rather (2),happen (6),price (4)
routine (4),nice (1),notice (3),processed (2),everything (6),problems (4)
basically (4),every (1),anything (3),runs (2),long (6),when (4)
terms (4),he (1),six (3),getting (2),send (6),werent (4)
sense (4),almost (1),even (3),doesnt (2),deliveries (6),paper (4)
potentially (4),markets (1),stock (3),clementines (2),use (6),noticed (4)
loads (4),passes (1),suggest (3),overall (2),weve (6),thursday (4)
interesting (4),start (1),longer (2),half (2),healthy (6),properly (4)
instead (4),promised (1),weight (2),except (2),hadnt (6),triggered (4)
night (4),currently (1),perishable (2),sent (2),shopping (6),level (4)
whereas (4),local (1),head (2),arrived (2),manually (6),main (3)
scales (4),organic (1),cupboard (2),picked (2),looked (6),study (3)
normally (4),buying (1),useful (2),assume (2),bowl (6),started (3)
anyway (4),yesterday (1),dry (2),anyway (2),bananas (6),theyre (3)
door (4),big (1),doesnt (2),contacted (2),triggered (6),someone (3)
place (4),spinach (1),quantities (2),thinking (2),concierge (6),which (3)
running (4),argue (1),sense (2),must (2),automatically (5),products (3)
mentioned (4),late (1),comes (2),bag (2),felt (5),easy (3)
three (4),humans (1),eating (2),else (2),driver (5),normally (3)
meals (4),delivering (1),driver (2),talk (2),arrive (5),decided (3)
problem (4),pissed (1),tomatoes (2),lose (2),when (5),product (3)
better (4),guy (1),punnet (2),relationship (2),less (5),ahead (3)
busy (4),robot (1),environment (2),breach (2),buying (5),number (3)
suppose (4),traffic (1),kitchen (2),connection (2),there (5),full (3)
waste (4),texts (1),else (2),occurred (2),someone (5),mum (3)
whether (4),understand (1),envisage (2),app (2),else (5),hours (3)
meal (4),flatmates (1),reordered (2),send (2),kitchen (5),supermarket (3)
concierge (4),although (1),automatically (2),cancel (2),number (5),fresh (3)
tell (4),surprised (1),slot (2),courier (2),lets (5),overtalking (3)
penne (4),messaged (1),made (2),arrives (2),earlier (5),look (3)
when (4),name (1),reorder (2),basically (2),definitely (5),consuming (3)
spaghetti (4),researcher (1),crazy (2),experience (2),convenient (5),process (3)
indulgence (4),useful (1),knowing (2),assuming (2),imagine (5),information (3)
rice (4),shops (1),london (2),ha (2),easier (5),interesting (3)
hard (3),multiple (1),whatever (2),preferences (2),soon (5),emails (3)
month (3),find (1),markets (2),preference (2),name (5),amazing (3)
whatever (3),bothered (1),goes (2),weigh (2),working (5),option (3)
gone (3),finished (1),every (2),even (2),g (5),environment (3)
desk (3),offered (1),start (2),interesting (2),already (5),period (3)
type (3),housemates (1),usually (2),future (2),fruit (5),take (3)
keep (3),diets (1),big (2),using (2),moment (5),place (3)
to (3),explain (1),month (2),little (2),error (5),this (3)
snack (3),eat (1),free (2),called (2),manual (5),moment (3)
amount (3),little (1),best (2),study (2),stock (5),god (3)
whenever (3),app (1),pretty (2),havent (2),automatic (5),based (3)
fruits (3),showed (1),question (2),cereal (2),potatoes (5),weight (3)
waitrose (3),graph (1),example (2),ones (2),which (4),rather (3)
cooking (3),are (1),tomorrow (2),play (2),certain (4),getting (3)
figure (3),limitations (1),front (2),try (2),later (4),annoying (3)
six (3),cost (1),abel (2),came (2),around (4),clementines (3)
ingredients (3),fact (1),placed (2),nuts (2),taking (4),often (3)
add (3),describing (1),fruits (2),apart (2),useful (4),overall (3)
extra (3),fridges (1),cole (2),options (2),cool (4),on (3)
sent (3),groceries (1),bought (2),box (2),crazy (4),checked (3)
still (3),talk (1),nine (2),email (2),started (4),weeks (3)
gets (3),delivers (1),initial (2),morning (2),bad (4),especially (3)
local (3),text (1),budget (2),hour (2),big (4),let (3)
basis (3),fridge (1),small (2),mind (2),part (4),actual (3)
set (3),phrase (1),lets (2),satisfied (2),seeing (4),empty (3)
cold (3),automated (1),tend (2),check (2),messages (4),occasion (3)
alternative (3),kids (1),heavy (2),stop (2),guys (4),pick (3)
find (3),help (1),house (2),engaged (2),twice (4),send (3)
basic (3),earlier (1),kilogram (2),longer (2),lazy (4),arrived (3)
consuming (3),there (1),a (2),stock (2),cupboard (4),hadnt (3)
end (3),playing (1),whats (2),also (2),cooking (4),meant (3)
specific (3),site (1),interesting (2),connected (2),extra (4),top (3)
ocado (3),showing (1),this (2),forgot (2),sent (4),cancel (3)
question (3),couple (1),someone (2),router (2),mind (4),sending (3)
without (3),working (1),ordered (2),very (2),example (4),told (3)
sainsburys (3),equipment (1),that (2),critical (2),question (4),cancelled (3)
ten (3),terms (1),fine (2),expectation (2),hours (4),whereas (3)
minutes (3),cleaner (1),supermarket (2),magical (2),potentially (4),today (3)
means (3),cleaning (1),seems (2),empty (2),person (4),whole (3)
purpose (3),area (1),ideal (2),explained (2),basically (4),stop (3)
area (3),easily (1),sometimes (2),manually (2),means (4),able (3)
period (3),were (1),away (2),replenished (1),specific (4),automatically (3)
mum (3),question (1),feel (2),specified (1),appealing (4),important (3)
wanted (3),allowed (1),gone (2),redelivered (1),find (4),attention (3)
guy (3),touch (1),extra (2),later (1),within (4),pay (3)
late (3),reasonsbecause (1),people (2),friendly (1),kids (4),saw (3)
evening (3),pull (1),number (2),environmentally (1),house (4),sunday (3)
working (3),keen (1),meant (2),quickest (1),understand (4),friday (3)
told (3),decades (1),couriered (2),useful (1),done (4),week (3)
lets (3),weight (1),gave (2),communication (1),top (4),now (3)
